"year","state","winning_party","candidate1","votes_received_for_candidate","total_votes"
2000,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",944409,1640011
2000,"ARIZONA","REPUBLICAN","GEORGE W. BUSH",781652,1466993
2000,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",472940,895708
2000,"CALIFORNIA","DEMOCRAT","AL GORE",5861203,10428632
2000,"COLORADO","REPUBLICAN","GEORGE W. BUSH",883745,1621972
2000,"DELAWARE","DEMOCRAT","AL GORE",180068,317356
2000,"DISTRICT OF COLUMBIA","DEMOCRAT","AL GORE",171923,189996
2000,"FLORIDA","DEMOCRAT","AL GORE",2911417,5822632
2000,"GEORGIA","REPUBLICAN","GEORGE W. BUSH",1419720,2535950
2000,"HAWAII","DEMOCRAT","AL GORE",205242,343061
2000,"IDAHO","REPUBLICAN","GEORGE W. BUSH",336937,475574
2000,"ILLINOIS","DEMOCRAT","AL GORE",2589026,4608447
2000,"INDIANA","REPUBLICAN","GEORGE W. BUSH",1245836,2147816
2000,"IOWA","DEMOCRAT","AL GORE",638517,1272890
2000,"KANSAS","REPUBLICAN","GEORGE W. BUSH",622332,1021608
2000,"KENTUCKY","REPUBLICAN","GEORGE W. BUSH",872492,1511390
2000,"LOUISIANA","REPUBLICAN","GEORGE W. BUSH",927871,1720215
2000,"MARYLAND","DEMOCRAT","AL GORE",1145782,1959579
2000,"MASSACHUSETTS","DEMOCRAT","AL GORE",1616487,2494989
2000,"MICHIGAN","DEMOCRAT","AL GORE",2170418,4123557
2000,"MINNESOTA","DEMOCRAT","AL GORE",1168266,2277925
2000,"MISSISSIPPI","REPUBLICAN","GEORGE W. BUSH",573230,978194
2000,"MONTANA","REPUBLICAN","GEORGE W. BUSH",240178,377304
2000,"NEBRASKA","REPUBLICAN","GEORGE W. BUSH",433862,665642
2000,"NEVADA","REPUBLICAN","GEORGE W. BUSH",301575,581553
2000,"NEW HAMPSHIRE","REPUBLICAN","GEORGE W. BUSH",273559,539907
2000,"NEW JERSEY","DEMOCRAT","AL GORE",1788850,3073023
2000,"NEW MEXICO","DEMOCRAT","AL GORE",286783,573200
2000,"NEW YORK","DEMOCRAT","AL GORE",4107697,6511071
2000,"NORTH CAROLINA","REPUBLICAN","GEORGE W. BUSH",1631163,2888855
2000,"NORTH DAKOTA","REPUBLICAN","GEORGE W. BUSH",174852,270136
2000,"OHIO","REPUBLICAN","GEORGE W. BUSH",2351209,4537399
2000,"OKLAHOMA","REPUBLICAN","GEORGE W. BUSH",744337,1218613
2000,"OREGON","DEMOCRAT","AL GORE",720342,1433919
2000,"PENNSYLVANIA","DEMOCRAT","AL GORE",2485967,4767094
2000,"SOUTH CAROLINA","REPUBLICAN","GEORGE W. BUSH",786426,1352465
2000,"SOUTH DAKOTA","REPUBLICAN","GEORGE W. BUSH",190700,309504
2000,"TENNESSEE","REPUBLICAN","GEORGE W. BUSH",1061949,2043669
2000,"TEXAS","REPUBLICAN","GEORGE W. BUSH",3799639,6233385
2000,"UTAH","REPUBLICAN","GEORGE W. BUSH",515096,718149
2000,"VERMONT","DEMOCRAT","AL GORE",149022,268797
2000,"VIRGINIA","REPUBLICAN","GEORGE W. BUSH",1436877,2653299
2000,"WASHINGTON","DEMOCRAT","AL GORE",1247652,2356516
2000,"WEST VIRGINIA","REPUBLICAN","GEORGE W. BUSH",336475,631972
2000,"WISCONSIN","DEMOCRAT","AL GORE",1242987,2480266
2000,"WYOMING","REPUBLICAN","GEORGE W. BUSH",147947,208428
2004,"ALABAMA","REPUBLICAN","GEORGE W. BUSH",1176394,1870327
2004,"ARIZONA","REPUBLICAN","GEORGE W. BUSH",1104294,1997818
2004,"ARKANSAS","REPUBLICAN","GEORGE W. BUSH",572770,1041401
2004,"CALIFORNIA","DEMOCRAT","JOHN KERRY",6737355,12238851
2004,"COLORADO","REPUBLICAN","GEORGE W. BUSH",1101255,2102987
2004,"DELAWARE","DEMOCRAT","JOHN KERRY",200141,371792
2004,"DISTRICT OF COLUMBIA","DEMOCRAT","JOHN KERRY",202970,224226
2004,"FLORIDA","REPUBLICAN","GEORGE W. BUSH",3964522,7548066
2004,"GEORGIA","REPUBLICAN","GEORGE W. BUSH",1914254,3280403
2004,"HAWAII","DEMOCRAT","JOHN KERRY",231335,425451
2004,"IDAHO","REPUBLICAN","GEORGE W. BUSH",409235,590333
2004,"ILLINOIS","DEMOCRAT","JOHN KERRY",2891989,5238597
2004,"INDIANA","REPUBLICAN","GEORGE W. BUSH",1479438,2448449
2004,"IOWA","REPUBLICAN","GEORGE W. BUSH",751957,1493855
2004,"KANSAS","REPUBLICAN","GEORGE W. BUSH",736456,1171449
2004,"KENTUCKY","REPUBLICAN","GEORGE W. BUSH",1069439,1782172
2004,"LOUISIANA","REPUBLICAN","GEORGE W. BUSH",1102169,1922468
2004,"MARYLAND","DEMOCRAT","JOHN KERRY",1334493,2359196
2004,"MASSACHUSETTS","DEMOCRAT","JOHN KERRY",1803800,2874909
2004,"MICHIGAN","DEMOCRAT","JOHN KERRY",2479183,4792929
2004,"MINNESOTA","DEMOCRAT","JOHN KERRY",1444751,2791202
2004,"MISSISSIPPI","REPUBLICAN","GEORGE W. BUSH",666295,1106329
2004,"MISSOURI","REPUBLICAN","GEORGE W. BUSH",1455713,2714884
2004,"MONTANA","REPUBLICAN","GEORGE W. BUSH",266063,439773
2004,"NEBRASKA","REPUBLICAN","GEORGE W. BUSH",512814,767142
2004,"NEVADA","REPUBLICAN","GEORGE W. BUSH",418690,815880
2004,"NEW HAMPSHIRE","DEMOCRAT","JOHN KERRY",340511,671748
2004,"NEW JERSEY","DEMOCRAT","JOHN KERRY",1911430,3579433
2004,"NEW MEXICO","REPUBLICAN","GEORGE W. BUSH",376930,747872
2004,"NEW YORK","DEMOCRAT","JOHN KERRY",4180755,6987748
2004,"NORTH CAROLINA","REPUBLICAN","GEORGE W. BUSH",1961166,3487015
2004,"NORTH DAKOTA","REPUBLICAN","GEORGE W. BUSH",196651,307703
2004,"OHIO","REPUBLICAN","GEORGE W. BUSH",2858727,5598679
